"","city","citycode","Occupational Diversity","Occupational Diversity Excluding First Quartile Exposure Jobs","Occupational Diversity Excluding the Bottom Two Exposure Levels","wage"
"181","泉州",350500,1.924492,1.565454,0.9982951,89579
"182","泰安",370900,1.932424,1.560792,0.9990821,NA
"183","泰州",321200,1.839627,1.558206,0.9981514,NA
"184","泸州",510500,1.911961,1.567158,0.9863145,NA
"185","洛阳",410300,1.969982,1.567379,0.9953306,86430
"186","济南",370100,1.956823,1.540678,0.9999934,NA
"187","济宁",370800,1.930151,1.557637,0.9988298,NA
"188","海东",630200,1.768054,1.42924,0.9883369,NA
"189","海北",632200,1.867733,1.478707,0.9305862,NA
"190","海南",632500,1.969026,1.546632,0.9612366,NA
"191","海口",460100,1.941879,1.543306,0.9769639,106266
"192","海西",632800,1.750293,1.573457,0.9962573,NA
"193","淄博",370300,1.935743,1.55724,0.9994733,NA
"194","淮北",340600,1.755648,1.529885,0.9995968,97564
"195","淮南",340400,1.80491,1.54639,0.9848688,115829
"196","淮安",320800,1.810345,1.556517,0.9999692,NA
"197","深圳",440300,1.908642,1.529446,0.9998473,164754
"198","清远",441800,1.609894,1.552731,0.9999011,99502
"199","温州",330300,1.838481,1.558922,0.9830931,NA
"200","渭南",610500,1.784049,1.561828,0.9870668,72260
"201","湖州",330500,1.788202,1.55209,0.9633886,NA
"202","湘潭",430300,1.803858,1.549581,0.9771866,63056
"203","湘西",433100,1.892977,1.56,0.9777756,60371
"204","湛江",440800,1.878305,1.559364,0.9992064,NA
"205","滁州",341100,1.736795,1.567042,0.9939438,95083
"206","滨州",371600,1.912344,1.567828,0.9995965,NA
"207","漯河",411100,1.849836,1.550426,0.9882244,75054
"208","漳州",350600,1.896121,1.532718,0.9840941,103722
"209","潍坊",370700,1.943157,1.545328,0.9889917,NA
"210","潮州",445100,1.884337,1.514062,0.9623154,NA
"211","濮阳",410900,1.889591,1.562797,0.9965323,82516
"212","烟台",370600,1.848501,1.570923,0.9999998,NA
"213","焦作",410800,1.867443,1.57818,0.9988828,69680
"214","牡丹江",231000,1.958721,1.532227,0.9415231,72860
"215","玉林",450900,1.894097,1.546346,0.9814135,80363.44
"216","玉树",632700,1.90195,1.47658,0.9993375,NA
"217","玉溪",530400,1.864093,1.571431,0.9893035,108573
"218","珠海",440400,1.911083,1.569523,0.9992456,126132
"219","甘南",623000,1.91846,1.513606,0.9784493,105440.91
"220","甘孜",513300,1.754563,1.529686,0.9987261,NA
"221","白城",220800,1.875182,1.581898,0.9980964,NA
"222","白山",220600,1.994543,1.577845,0.9930791,NA
"223","白银",620400,1.832273,1.584755,1,86962.99
"224","百色",451000,1.820485,1.544598,0.9470623,95309.31
"225","益阳",430900,1.770611,1.572021,0.9932338,57187
"226","盐城",320900,1.77994,1.552052,0.980395,NA
"227","盘锦",211100,1.832235,1.581638,0.9982429,83825
"228","眉山",511400,1.823361,1.584194,0.9995732,NA
"229","石嘴山",640200,1.77389,1.573971,0.9905015,NA
"230","石家庄",130100,1.963703,1.540874,0.9999757,100943
"231","神农架",429021,1.313949,1.503273,0.8812909,NA
"232","福州",350100,1.926178,1.541325,0.9977481,115549
"233","秦皇岛",130300,1.94603,1.580806,0.9982173,99018
"234","娄底",431300,1.814174,1.561768,0.9999934,64446
